model,nn_info_unit,hardware,is_autoregressive,evaluate_all_bits,num_bytes,target_bits,seqlen,step,train_ratio,learning_rate,batch_size,epochs,corr_intensity,autocorrelation_function,distance_scale_p,exponential_decay_rate,gaussian_sigma,p_c_source,min_entropy_th,distillation_mode,entropy_non_iid_nist,entropy_iid_nist,Bitstring MultiMCW_pglobal,Bitstring MultiMCW_plocal,Bitstring MultiMCW_min_entropy,Literal MultiMCW_pglobal,Literal MultiMCW_plocal,Literal MultiMCW_min_entropy,Bitstring Lag_pglobal,Bitstring Lag_plocal,Bitstring Lag_min_entropy,Literal Lag_pglobal,Literal Lag_plocal,Literal Lag_min_entropy,Bitstring MultiMMC_pglobal,Bitstring MultiMMC_plocal,Bitstring MultiMMC_min_entropy,Literal MultiMMC_pglobal,Literal MultiMMC_plocal,Literal MultiMMC_min_entropy,Bitstring LZ78Y_pglobal,Bitstring LZ78Y_plocal,Bitstring LZ78Y_min_entropy,Literal LZ78Y_pglobal,Literal LZ78Y_plocal,Literal LZ78Y_min_entropy, VAD_tau_start, VAD_tau_end, VAD_tau_progression,training_time,teacher_training_time,distillation_training_time,distillation_strategy,total_parameters,trainable_parameters,non_trainable_parameters,total_train_samples,training_data_size,steps_per_epoch,validation_steps,evaluation_time,p_ml,p_g,p_c_pred,p_e,bin_cross-entropy_loss,bytes_processed_eval,min_entropy_estimated,teacher_p_ml,teacher_ce_loss
nanogpt,bit,MX110,False,False,100000,4,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.502825,0.4150374992788438,rad,3.891546,5.478106,0.5404917908267983,0.6655969474388728,0.587279,0.02145194917719473,0.040184325022297476,0.579652875,0.5469771302733295,0.6515130413614965,0.618134,0.011745888044429512,0.017885822760345206,0.72563,0.5831457744758631,0.665595678837938,0.587282,0.02706118709057708,0.040179379644727134,0.579675125,0.5462969688844569,0.658691838809176,0.602324,0.027054998840253634,0.040180595384485325,0.579669625,-,-,-,12.34,1.687333225165882,10.655477843733388,RADStrategy,2399488,2399488,0,799,79900,799,199,0.07,0.09484924623115577,0.0625,1.0,0.0,9.372276282190677,100000,0.8495549703046426,0.13128140703517588,2.697246798318834
nanogpt,bit,MX110,False,False,100000,5,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.50105,0.4150374992788438,rad,3.716319,5.468889,0.5407742490918176,0.6586928083098996,0.602322,0.02263409746424128,0.06901156088204523,0.48212725,0.5477856663421288,0.684805837706531,0.546233,0.0115693370128236,0.04017929860321156,0.5796755,0.5834668716901835,0.7125426501823517,0.488952,0.028331058124300885,0.06900445465729863,0.482145875,0.5471617606580244,0.712542931343061,0.488951,0.02835578445716983,0.06900620161884354,0.48214125,-,-,-,12.46,1.6794638307833034,10.782635917083827,RADStrategy,2403584,2403584,0,799,79900,799,199,0.07,0.034547738693467334,0.03125,0.8,0.7219280948873623,9.888904264823875,100000,0.9710529814037979,0.10301507537688442,3.3724245545852125
nanogpt,bit,MX110,False,False,100000,6,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5016,0.4150374992788438,rad,3.631394,5.508815,0.5410992005040917,0.6440456706866828,0.634765,0.022274410409657275,0.040184325022297476,0.579652875,0.5474170143574204,0.6197186350477603,0.690315,0.011704351400487546,0.017885822760345206,0.72563,0.5835355889124217,0.651513062720606,0.618134,0.027552840509621687,0.040179379644727134,0.579675125,0.5469818043479201,0.6440446748424296,0.634767,0.027526241957561766,0.040180595384485325,0.579669625,-,-,-,12.94,1.688253345216314,11.247029702283907,RADStrategy,2411776,2411776,0,799,79900,799,199,0.18,0.0364321608040201,0.015625,1.0,0.0,11.181564254377356,100000,0.7964406042360128,0.059673366834170856,4.046339132078928
nanogpt,bit,MX110,False,False,100000,1,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5023375,0.4150374992788438,vad,3.900881,5.507466,0.5401155956913806,0.6197200325349965,0.690311,0.021842674675527005,0.040184325022297476,0.579652875,0.5469171459925556,0.5820173050339855,0.780866,0.011558949994414256,0.017885822760345206,0.72563,0.5823286604851337,0.6197186575869565,0.690315,0.028085335567054708,0.040179379644727134,0.579675125,0.5466556330542099,0.6197189956787876,0.690314,0.02806906516834587,0.040180595384485325,0.579669625,0.9,0.05,exp,7.88,1.9513782634167,5.925459463083341,VADStrategy,2395904,2395904,0,799,79900,799,199,0.09,0.5437814070351759,0.5,0.5100879396984924,0.9997063439465002,0.7606490074689664,100000,0.8789012712862276,0.5766206030150753,0.6763224170435613
nanogpt,bit,MX110,False,False,100000,2,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5004375,0.4150374992788438,vad,3.819172,5.549894,0.5395569256496233,0.6586928083098996,0.602322,0.021009685642661903,0.040184325022297476,0.579652875,0.5454625207576176,0.6016990337076356,0.732886,0.011673196997866885,0.017885822760345206,0.72563,0.582662253378219,0.6362682419031448,0.652293,0.027194354738574372,0.040179379644727134,0.579675125,0.5459533004220171,0.6515133831095973,0.618133,0.027147207022626147,0.040180595384485325,0.579669625,0.9,0.05,exp,7.83,1.7873164390165281,6.043528579183233,VADStrategy,2396416,2396416,0,799,79900,799,199,0.10,0.26319095477386933,0.25,0.7581658291457286,0.7980771599089238,1.5671165330925179,100000,0.9629090934221487,0.3178391959798995,1.3511920298763256
nanogpt,bit,MX110,False,False,100000,3,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.50125,0.4150374992788438,vad,3.808945,5.518295,0.5393956983874447,0.6515143656743292,0.618131,0.020814222935297024,0.040184325022297476,0.579652875,0.5458536711962233,0.5820173050339855,0.780866,0.011901624664770032,0.017885822760345206,0.72563,0.5831407768489573,0.651513062720606,0.618134,0.02706118709057708,-,0.650953875,0.5457720931371972,0.6440446748424258,0.634767,0.027003770280594207,-,0.651336875,0.9,0.05,exp,7.70,1.770304071600549,5.92804587323335,VADStrategy,2397440,2397440,0,799,79900,799,199,0.08,0.15201005025125627,0.125,0.8316582914572864,0.653897214981187,2.1244487570757844,100000,0.9059204610896848,0.2242462311557789,2.0258609565658188
nanogpt,bit,MX110,False,False,100000,4,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.505775,0.4150374992788438,vad,3.471634,5.53332,0.5406180222326735,0.6281676527126956,0.670778,0.02171929884563498,0.040184325022297476,0.579652875,0.5463173020301958,0.7073738999779359,0.499455,0.01138234193990864,0.06900433820410433,0.482146125,0.5826210228320935,0.7359751849738922,0.442271,0.026866541870906264,0.06900445465729863,0.482145875,0.5464444336862084,0.7402301482982752,0.433954,0.026850076880735648,0.06900620161884354,0.48214125,0.9,0.05,exp,7.71,1.7647756419503517,5.944914800349701,VADStrategy,2399488,2399488,0,799,79900,799,199,0.09,0.09108040201005026,0.0625,0.8760992462311558,0.5404704795366084,2.8338634308858133,100000,0.8641788826321786,0.13819095477386933,2.7006027123436858
nanogpt,bit,MX110,False,False,100000,5,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5022125,0.4150374992788438,vad,2.873328,5.54504,0.5405542816333689,0.7796151077501754,0.359166,0.021534215805904693,0.040184325022297476,0.579652875,0.546969632239381,0.7632347437707557,0.389801,0.011797804758150083,0.13589579492263437,0.359928375,0.5817027034797438,0.7796141709353697,0.359168,0.027337756449019514,0.13589596821309968,0.359928125,0.546956810401015,0.7765148402463475,0.364915,0.02738283144785181,0.1358985678052748,0.35992475,0.9,0.05,exp,7.70,1.7696526638659027,5.935212795749734,VADStrategy,2403584,2403584,0,799,79900,799,199,0.11,0.0571608040201005,0.03125,0.8680904522613065,0.5626519666199936,3.50306188281457,100000,0.8257659960689905,0.08417085427135679,3.3711940727042196
nanogpt,bit,MX110,False,False,100000,6,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5029,0.4150374992788438,vad,3.676159,5.475466,0.5404405483484637,0.6722416336572182,0.572948,0.02223329799777766,0.06901156088204523,0.48212725,0.5464410200192557,0.6515130413614965,0.618134,0.011828952616228475,0.04017929860321156,0.5796755,0.5844451523808971,0.6722403817826733,0.572951,0.027604047751543067,0.040179379644727134,0.579675125,0.5469393146360124,0.6655959907797356,0.587281,0.027526241957561766,0.040180595384485325,0.579669625,0.9,0.05,exp,7.72,1.8191365148998253,5.902493371350769,VADStrategy,2411776,2411776,0,799,79900,799,199,0.09,0.014447236180904523,0.015625,0.6633165829145728,0.9216095475989925,4.205208572311018,100000,1.0188437774144392,0.05402010050251256,4.048980287571049
nanogpt,bit,MX110,False,False,100000,1,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.50135,0.4150374992788438,vad,3.808945,5.565259,0.5409292259958255,0.6515143656743292,0.618131,0.021287401933014923,0.040184325022297476,0.579652875,0.5455637450780894,0.6362682199622873,0.652293,0.011538175397948054,0.017885822760345206,0.72563,0.5829796033008444,0.6440443501233486,0.634768,0.026866541870906264,0.040179379644727134,0.579675125,0.5457658446067192,0.6440446748424258,0.634767,0.026850076880735648,0.040180595384485325,0.579669625,0.9,0.05,exp,7.87,1.8629935194000913,6.00585017518315,VADStrategy,2395904,2395904,0,799,79900,799,199,0.12,0.5449371859296482,0.5,0.5012562814070352,0.9999954461485858,0.7692855710360273,100000,0.8758381526500865,0.5757726130653267,0.67549231603517
